symbol,name
000001.SH#I,上证指数
515980.SH#FD, 人工智能etf
588200.SH#FD, 科创芯片etf
515880.SH#FD, 通信etf
688981.SH,中芯国际
688111.SH,金山办公
601390.SH,中国中铁
600150.SH,中国船舶
