symbol,name
002555.SZ,三七互娱
300418.SZ,昆仑万维
002624.SZ,完美世界
000858.SZ,五粮液
002507.SZ,涪陵榨菜
000999.SZ,华润三九
600129.SH,太极集团
688981.SH,中芯国际
688111.SH,金山办公
002236.SZ,大华股份
002415.SZ,海康威视
300413.SZ,芒果超媒
300058.SZ,蓝色光标
601390.SH,中国中铁
000063.SZ,中兴通讯
600150.SH,中国船舶
600072.SH,中船科技
601989.SH,中国重工
880948.SH#I,人工智能
000685.SH#I,科创芯片
801744.SI#I,船舶制造
931160.SH#I,通信设备
000932.SH#I,中证消费
000001.SH#I,上证指数
000990.SH#I,全指消费
801983.SI#I,医疗美容
801016.SI#I,种植业
515980.SH#FD, 人工智能etf
588200.SH#FD, 科创芯片etf
515880.SH#FD, 通信etf
