,ts_code,symbol,name,area,industry,list_date
300,000796.SZ,000796.SZ#E,*ST凯撒,海南,旅游服务,19970703
301,000797.SZ,000797.SZ#E,中国武夷,福建,全国地产,19970715
302,000798.SZ,000798.SZ#E,中水渔业,北京,渔业,19980212
303,000799.SZ,000799.SZ#E,酒鬼酒,湖南,白酒,19970718
304,000800.SZ,000800.SZ#E,一汽解放,吉林,汽车整车,19970618
305,000801.SZ,000801.SZ#E,四川九洲,四川,家用电器,19980506
306,000802.SZ,000802.SZ#E,北京文化,北京,影视音像,19980108
307,000803.SZ,000803.SZ#E,山高环能,四川,环境保护,19980303
308,000806.SZ,000806.SZ#E,*ST银河,广西,电气设备,19980416
309,000807.SZ,000807.SZ#E,云铝股份,云南,铝,19980408
310,000809.SZ,000809.SZ#E,铁岭新城,辽宁,区域地产,19980616
311,000810.SZ,000810.SZ#E,创维数字,四川,家用电器,19980602
312,000811.SZ,000811.SZ#E,冰轮环境,山东,工程机械,19980528
313,000812.SZ,000812.SZ#E,陕西金叶,陕西,广告包装,19980623
314,000813.SZ,000813.SZ#E,德展健康,新疆,化学制药,19980519
315,000815.SZ,000815.SZ#E,美利云,宁夏,造纸,19980609
316,000816.SZ,000816.SZ#E,智慧农业,江苏,农用机械,19970818
317,000818.SZ,000818.SZ#E,航锦科技,辽宁,化工原料,19971017
318,000819.SZ,000819.SZ#E,岳阳兴长,湖南,石油加工,19970625
319,000820.SZ,000820.SZ#E,神雾节能,江西,环境保护,19980630
320,000821.SZ,000821.SZ#E,京山轻机,湖北,电气设备,19980626
321,000822.SZ,000822.SZ#E,山东海化,山东,化工原料,19980703
322,000823.SZ,000823.SZ#E,超声电子,广东,元器件,19971008
323,000825.SZ,000825.SZ#E,太钢不锈,山西,特种钢,19981021
324,000826.SZ,000826.SZ#E,启迪环境,湖北,环境保护,19980225
325,000828.SZ,000828.SZ#E,东莞控股,广东,路桥,19970617
326,000829.SZ,000829.SZ#E,天音控股,江西,其他商业,19971202
327,000830.SZ,000830.SZ#E,鲁西化工,山东,农药化肥,19980807
328,000831.SZ,000831.SZ#E,中国稀土,江西,小金属,19980911
329,000833.SZ,000833.SZ#E,粤桂股份,广西,食品,19981111
330,000836.SZ,000836.SZ#E,富通信息,天津,通信设备,19970929
331,000837.SZ,000837.SZ#E,秦川机床,陕西,机床制造,19980928
332,000838.SZ,000838.SZ#E,财信发展,重庆,区域地产,19970626
333,000839.SZ,000839.SZ#E,ST国安,北京,综合类,19971031
334,000848.SZ,000848.SZ#E,承德露露,河北,软饮料,19971113
335,000850.SZ,000850.SZ#E,华茂股份,安徽,纺织,19981007
336,000851.SZ,000851.SZ#E,高鸿股份,贵州,通信设备,19980609
337,000852.SZ,000852.SZ#E,石化机械,湖北,化工机械,19981126
338,000856.SZ,000856.SZ#E,冀东装备,河北,专用机械,19980813
339,000858.SZ,000858.SZ#E,五粮液,四川,白酒,19980427
340,000859.SZ,000859.SZ#E,国风新材,安徽,塑料,19981119
341,000860.SZ,000860.SZ#E,顺鑫农业,北京,白酒,19981104
342,000861.SZ,000861.SZ#E,海印股份,广东,其他商业,19981028
343,000862.SZ,000862.SZ#E,银星能源,宁夏,新型电力,19980915
