,ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol
60,801161.SI,电力(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801161.SI#I
61,801162.SI,环保工程及服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801162.SI#I
62,801163.SI,燃气Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801163.SI#I
63,801164.SI,水务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801164.SI#I
64,801171.SI,港口Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801171.SI#I
65,801172.SI,公交Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801172.SI#I
66,801173.SI,航空运输Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801173.SI#I
67,801174.SI,机场Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801174.SI#I
68,801175.SI,高速公路Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801175.SI#I
69,801176.SI,航运Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801176.SI#I
70,801177.SI,铁路运输Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801177.SI#I
71,801178.SI,物流Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801178.SI#I
72,801181.SI,房地产开发Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801181.SI#I
73,801182.SI,园区开发Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801182.SI#I
74,801191.SI,多元金融Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801191.SI#I
75,801192.SI,银行Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801192.SI#I
76,801193.SI,券商Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801193.SI#I
77,801194.SI,保险Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801194.SI#I
